Site,Age,d13C,Material
1262,66.096486,2.98,bulk carbonate
1262,66.097945,3.01,bulk carbonate
1262,66.099405,3.06,bulk carbonate
1262,66.100864,3.03,bulk carbonate
1262,66.102323,3.13,bulk carbonate
1262,66.103782,3.19,bulk carbonate
1262,66.105241,3.19,bulk carbonate
1262,66.1067,3.13,bulk carbonate
1262,66.108159,3.21,bulk carbonate
1262,66.109618,3.14,bulk carbonate
1262,66.111077,3.24,bulk carbonate
1262,66.112536,2.97,bulk carbonate
1262,66.113995,2.87,bulk carbonate
1262,66.115455,3.03,bulk carbonate
1262,66.116914,3.13,bulk carbonate
1262,66.118373,2.97,bulk carbonate
1262,66.12275,2.90,bulk carbonate
1262,66.124209,3.10,bulk carbonate
1262,66.125668,2.98,bulk carbonate
1262,66.127127,3.15,bulk carbonate
1262,66.128586,2.98,bulk carbonate
1262,66.130045,3.00,bulk carbonate
1262,66.131505,2.87,bulk carbonate
1262,66.132964,3.06,bulk carbonate
1262,66.134423,2.94,bulk carbonate
1262,66.135882,3.01,bulk carbonate
1262,66.137341,2.99,bulk carbonate
1262,66.1388,2.87,bulk carbonate
1262,66.140259,2.84,bulk carbonate
1262,66.141718,2.93,bulk carbonate
1262,66.143177,2.79,bulk carbonate
1262,66.144636,2.82,bulk carbonate
1262,66.146095,2.84,bulk carbonate
1262,66.147555,2.77,bulk carbonate
1262,66.149014,2.87,bulk carbonate
1262,66.150473,2.87,bulk carbonate
1262,66.151932,3.05,bulk carbonate
1262,66.153391,2.87,bulk carbonate
1262,66.15485,3.13,bulk carbonate
1262,66.156309,3.12,bulk carbonate
1262,66.157768,2.97,bulk carbonate
1262,66.159227,3.30,bulk carbonate
1262,66.160686,2.91,bulk carbonate
1262,66.162145,3.11,bulk carbonate
1262,66.163605,2.82,bulk carbonate
1262,66.165064,2.92,bulk carbonate
1262,66.166523,2.96,bulk carbonate
1262,66.167982,2.74,bulk carbonate
1262,66.169441,2.79,bulk carbonate
1262,66.172359,2.85,bulk carbonate
1262,66.173818,2.82,bulk carbonate
1262,66.175277,2.90,bulk carbonate
1262,66.176736,2.87,bulk carbonate
1262,66.179655,2.84,bulk carbonate
1262,66.181114,2.78,bulk carbonate
1262,66.182573,2.85,bulk carbonate
1262,66.184032,2.80,bulk carbonate
1262,66.185491,2.84,bulk carbonate
1262,66.18695,2.85,bulk carbonate
1262,66.188409,2.82,bulk carbonate
1262,66.189868,2.74,bulk carbonate
1262,66.191327,2.84,bulk carbonate
1262,66.192786,2.84,bulk carbonate
1262,66.194245,2.99,bulk carbonate
1262,66.195705,2.79,bulk carbonate
1262,66.197164,2.83,bulk carbonate
1262,66.198623,2.78,bulk carbonate
1262,66.200082,2.67,bulk carbonate
1262,66.201541,2.77,bulk carbonate
1262,66.203,2.81,bulk carbonate
1262,66.204543,2.72,bulk carbonate
1262,66.206086,2.60,bulk carbonate
1262,66.207629,2.50,bulk carbonate
1262,66.209171,2.66,bulk carbonate
1262,66.210714,2.65,bulk carbonate
1262,66.212257,2.77,bulk carbonate
1262,66.2138,2.85,bulk carbonate
1262,66.215343,2.98,bulk carbonate
1262,66.216886,2.94,bulk carbonate
1262,66.218429,2.91,bulk carbonate
1262,66.219971,2.88,bulk carbonate
1262,66.221514,2.80,bulk carbonate
1262,66.223057,2.80,bulk carbonate
1262,66.2246,2.76,bulk carbonate
1262,66.226143,2.77,bulk carbonate
1262,66.227686,2.69,bulk carbonate
1262,66.229229,2.68,bulk carbonate
1262,66.230771,2.81,bulk carbonate
1262,66.233857,2.73,bulk carbonate
1262,66.236943,2.74,bulk carbonate
1262,66.238486,2.84,bulk carbonate
1262,66.240029,2.90,bulk carbonate
1262,66.241571,2.95,bulk carbonate
1262,66.244657,2.91,bulk carbonate
1262,66.247743,2.82,bulk carbonate
1262,66.249286,2.76,bulk carbonate
1262,66.250829,2.75,bulk carbonate
1262,66.252371,2.74,bulk carbonate
1262,66.253914,2.75,bulk carbonate
1262,66.255457,2.69,bulk carbonate
1262,66.257,2.88,bulk carbonate
1262,66.261629,2.85,bulk carbonate
1262,66.263171,2.86,bulk carbonate
1262,66.264714,2.98,bulk carbonate
1262,66.266257,2.93,bulk carbonate
1262,66.269343,2.95,bulk carbonate
1262,66.270886,2.89,bulk carbonate
1262,66.272429,2.83,bulk carbonate
1262,66.273971,2.78,bulk carbonate
1262,66.275514,2.77,bulk carbonate
1262,66.277057,2.80,bulk carbonate
1262,66.2786,2.77,bulk carbonate
1262,66.280143,2.76,bulk carbonate
1262,66.281686,2.75,bulk carbonate
1262,66.283229,2.76,bulk carbonate
1262,66.284771,2.75,bulk carbonate
1262,66.286314,2.85,bulk carbonate
1262,66.287857,2.77,bulk carbonate
1262,66.2894,2.88,bulk carbonate
1262,66.290943,2.96,bulk carbonate
1262,66.292486,2.90,bulk carbonate
1262,66.294029,3.01,bulk carbonate
1262,66.295571,2.83,bulk carbonate
1262,66.297114,2.86,bulk carbonate
1262,66.298657,2.89,bulk carbonate
1262,66.3002,2.82,bulk carbonate
1262,66.301743,2.98,bulk carbonate
1262,66.303286,3.00,bulk carbonate
1262,66.304829,2.78,bulk carbonate
1262,66.306371,2.96,bulk carbonate
1262,66.307914,2.95,bulk carbonate
1262,66.309457,3.00,bulk carbonate
1262,66.311,2.91,bulk carbonate
1262,66.312828,3.06,bulk carbonate
1262,66.314655,2.85,bulk carbonate
1262,66.316483,3.17,bulk carbonate
1262,66.31831,3.36,bulk carbonate
1262,66.320138,3.17,bulk carbonate
1262,66.321966,3.30,bulk carbonate
1262,66.323793,2.87,bulk carbonate
1262,66.325621,2.83,bulk carbonate
1262,66.327448,2.83,bulk carbonate
1262,66.329276,2.82,bulk carbonate
1262,66.331103,2.88,bulk carbonate
1262,66.332931,2.92,bulk carbonate
1262,66.334759,3.08,bulk carbonate
1262,66.336586,3.00,bulk carbonate
1262,66.338414,2.96,bulk carbonate
1262,66.340241,3.01,bulk carbonate
1262,66.342069,3.05,bulk carbonate
1262,66.362172,2.87,bulk carbonate
1262,66.364,2.96,bulk carbonate
1262,66.365828,2.96,bulk carbonate
1262,66.367655,3.01,bulk carbonate
1262,66.369483,3.04,bulk carbonate
1262,66.37131,2.93,bulk carbonate
1262,66.373138,3.10,bulk carbonate
1262,66.374966,3.10,bulk carbonate
1262,66.376793,2.99,bulk carbonate
1262,66.378621,3.08,bulk carbonate
1262,66.380448,2.99,bulk carbonate
1262,66.382276,2.97,bulk carbonate
1262,66.384103,2.97,bulk carbonate
1262,66.385931,2.98,bulk carbonate
1262,66.387759,2.92,bulk carbonate
1262,66.389586,2.99,bulk carbonate
1262,66.391414,2.97,bulk carbonate
1262,66.393241,2.97,bulk carbonate
1262,66.395069,2.93,bulk carbonate
1262,66.396897,3.10,bulk carbonate
1262,66.398724,2.78,bulk carbonate
1262,66.400552,2.91,bulk carbonate
1262,66.402379,2.87,bulk carbonate
1262,66.404207,2.86,bulk carbonate
1262,66.406034,2.94,bulk carbonate
1262,66.407862,2.84,bulk carbonate
1262,66.40969,2.91,bulk carbonate
1262,66.413345,2.87,bulk carbonate
1262,66.415172,3.05,bulk carbonate
1262,66.417,3.02,bulk carbonate
1262,66.418622,2.91,bulk carbonate
1262,66.420245,3.03,bulk carbonate
1262,66.421867,2.94,bulk carbonate
1262,66.42349,3.02,bulk carbonate
1262,66.425112,2.94,bulk carbonate
1262,66.426735,2.85,bulk carbonate
1262,66.428357,2.95,bulk carbonate
1262,66.42998,2.92,bulk carbonate
1262,66.431602,2.94,bulk carbonate
1262,66.433224,3.07,bulk carbonate
1262,66.434847,3.09,bulk carbonate
1262,66.436469,3.17,bulk carbonate
1262,66.438092,3.17,bulk carbonate
1262,66.439714,3.13,bulk carbonate
1262,66.441337,3.22,bulk carbonate
1262,66.442959,3.17,bulk carbonate
1262,66.444582,3.11,bulk carbonate
1262,66.446204,3.07,bulk carbonate
