128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22	128.22
131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74	131.74
134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14	134.14
135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65	135.65
136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49	136.49
136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90	136.90
137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05
137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09
137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09	137.09
137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05	137.05
