model,time,zooplankton biomass (Pg C),phytoplankton biomass (Pg C),mixoplankton biomass (Pg C),size mean (μm),exp
2,101.5,7.074905e-05,0.0113134105,0.039852105,27.202806,solar effect
2,102.5,0.054115325,0.14121819,0.5310012,53.377567,solar effect
2,103.5,0.15669268,0.15791684,0.56542134,54.80894,solar effect
2,104.5,0.16194627,0.14296046,0.51013243,54.51131,solar effect
2,105.5,0.15721633,0.13431591,0.47508076,52.136227,solar effect
2,106.5,0.14966728,0.1271201,0.45012552,49.98877,solar effect
2,107.5,0.14277706,0.12136859,0.43149498,48.134373,solar effect
2,108.5,0.13704225,0.11685356,0.41645557,46.50038,solar effect
2,109.5,0.13230278,0.11309438,0.40374744,45.016647,solar effect
2,110.5,0.12837955,0.10999721,0.39338893,43.823105,solar effect
2,111.5,0.12508184,0.10758193,0.38515556,42.918327,solar effect
2,112.5,0.122264765,0.10538871,0.3778356,42.06477,solar effect
2,113.5,0.119928986,0.103468165,0.37159327,41.307823,solar effect
2,114.5,0.11797175,0.10175279,0.366192,40.66106,solar effect
2,115.5,0.116176575,0.100207195,0.36137205,40.102936,solar effect
2,116.5,0.11459496,0.09883021,0.35705167,39.600063,solar effect
2,117.5,0.113183625,0.09759402,0.35317475,39.147335,solar effect
2,118.5,0.11195625,0.09652459,0.34980467,38.784725,solar effect
2,119.5,0.110857435,0.09559378,0.3469272,38.51375,solar effect
2,120.5,0.109875046,0.09474759,0.3443153,38.29291,solar effect
2,121.5,0.10903479,0.094018474,0.34206057,38.13228,solar effect
2,122.5,0.1083242,0.09333802,0.3399322,37.96468,solar effect
2,123.5,0.10760577,0.09268655,0.33786732,37.81471,solar effect
2,124.5,0.10694419,0.09211896,0.33595657,37.663605,solar effect
2,125.5,0.106326334,0.09160345,0.3342211,37.53172,solar effect
2,126.5,0.10574624,0.09112182,0.33265215,37.42161,solar effect
2,127.5,0.10521875,0.090698384,0.33132285,37.33796,solar effect
2,128.5,0.104761444,0.09032811,0.33012962,37.25105,solar effect
2,129.5,0.10433467,0.08999055,0.32904422,37.18325,solar effect
2,130.5,0.10393189,0.0896546,0.3279528,37.09923,solar effect
2,131.5,0.103560224,0.089346424,0.32693464,37.00726,solar effect
2,132.5,0.103212856,0.089078754,0.32607985,36.93865,solar effect
2,133.5,0.102889635,0.088846974,0.32536575,36.88773,solar effect
2,134.5,0.10258154,0.08863585,0.3247136,36.84121,solar effect
2,135.5,0.10229312,0.08845978,0.32417986,36.813732,solar effect
2,136.5,0.1020167,0.08829126,0.32367086,36.782833,solar effect
2,137.5,0.10173688,0.088122234,0.32311633,36.736755,solar effect
2,138.5,0.10145502,0.087956004,0.32261646,36.702484,solar effect
2,139.5,0.1011574,0.08778356,0.32211468,36.66868,solar effect
2,140.5,0.100865304,0.08760441,0.32158825,36.631832,solar effect
2,141.5,0.100579575,0.087422565,0.32106024,36.588665,solar effect
2,142.5,0.1002934,0.08725424,0.32056087,36.55039,solar effect
2,143.5,0.100027904,0.08709483,0.32009834,36.517735,solar effect
2,144.5,0.099775314,0.08694297,0.31965584,36.486633,solar effect
2,145.5,0.09955141,0.086797245,0.31922433,36.45632,solar effect
2,146.5,0.09934278,0.086667925,0.31885558,36.437828,solar effect
2,147.5,0.099129215,0.08653131,0.31843054,36.411427,solar effect
2,148.5,0.09893906,0.08640628,0.3180558,36.387306,solar effect
2,149.5,0.098769896,0.08628358,0.317684,36.361847,solar effect
2,199.5,0.09729287,0.084688045,0.3123707,36.294296,solar effect
3,0.5,0.10015385,0.08929633,0.30355453,38.682323,solar effect
3,99.5,0.09210588,0.08051182,0.2978494,33.870495,solar effect
3,100.5,0.054144878,0.057395898,0.20519152,32.662785,solar effect
3,101.5,0.0044936277,0.045386717,0.21133645,53.52884,solar effect
3,102.5,0.070740454,0.14678255,0.54628843,78.23611,solar effect
3,103.5,0.15434203,0.17048547,0.6032889,65.125114,solar effect
3,104.5,0.16226935,0.14814804,0.53026295,56.880196,solar effect
3,105.5,0.15777688,0.13776937,0.4893903,53.586533,solar effect
3,106.5,0.15049416,0.12940097,0.45904922,50.889126,solar effect
3,107.5,0.14330246,0.12282294,0.43701786,48.713703,solar effect
3,108.5,0.13721293,0.117817715,0.42017895,46.901375,solar effect
3,109.5,0.13226515,0.11374843,0.40652525,45.342297,solar effect
3,110.5,0.12827832,0.110467985,0.39543906,44.041405,solar effect
3,111.5,0.124914676,0.107857496,0.38655123,43.062523,solar effect
3,112.5,0.122168325,0.10565826,0.3791334,42.22415,solar effect
3,113.5,0.119900644,0.10375942,0.37281597,41.487614,solar effect
3,114.5,0.117988065,0.10206577,0.36739767,40.873703,solar effect
3,115.5,0.1162321,0.10050918,0.36253005,40.32275,solar effect
3,116.5,0.11466226,0.099081956,0.35804862,39.80644,solar effect
3,117.5,0.1132613,0.097807184,0.3539757,39.32559,solar effect
3,118.5,0.11208117,0.09673546,0.35059112,38.957996,solar effect
3,119.5,0.11101367,0.09577546,0.3475828,38.66222,solar effect
3,120.5,0.11009048,0.09494883,0.3450426,38.460743,solar effect
3,121.5,0.10932133,0.09423859,0.34287596,38.316364,solar effect
3,122.5,0.10859408,0.093553975,0.34068882,38.17553,solar effect
3,123.5,0.107853234,0.09288918,0.33853525,38.006737,solar effect
3,124.5,0.107192576,0.09231814,0.33660907,37.856525,solar effect
3,125.5,0.10661135,0.09180973,0.334924,37.723854,solar effect
3,126.5,0.10605332,0.09132257,0.3333363,37.611782,solar effect
3,127.5,0.10551747,0.09090146,0.33198786,37.529415,solar effect
3,128.5,0.1050736,0.090544276,0.3308332,37.461624,solar effect
3,129.5,0.10465646,0.09019789,0.32970965,37.387493,solar effect
3,130.5,0.10424763,0.08985397,0.3285684,37.287067,solar effect
3,131.5,0.10389047,0.08955614,0.3276155,37.205097,solar effect
3,132.5,0.10354993,0.08929342,0.32675788,37.129288,solar effect
3,133.5,0.10323061,0.08906123,0.32605454,37.077194,solar effect
3,134.5,0.10293515,0.088873796,0.325473,37.041286,solar effect
3,135.5,0.10265563,0.08869923,0.32491243,37.0,solar effect
3,136.5,0.102384344,0.08853005,0.32436317,36.955555,solar effect
3,137.5,0.10208054,0.08834567,0.32377145,36.904705,solar effect
3,138.5,0.10177515,0.08817331,0.32326925,36.872177,solar effect
3,139.5,0.101482,0.08800066,0.32278067,36.844315,solar effect
3,140.5,0.101177976,0.08781488,0.32224607,36.80666,solar effect
3,141.5,0.10087308,0.08763317,0.32171696,36.76198,solar effect
3,142.5,0.10057971,0.087456405,0.3211879,36.717445,solar effect
3,143.5,0.10030116,0.08728103,0.32066578,36.672005,solar effect
3,144.5,0.10004846,0.08712737,0.32022488,36.639187,solar effect
3,145.5,0.09981012,0.086977825,0.31978342,36.61004,solar effect
3,146.5,0.09957805,0.086833835,0.31934565,36.58083,solar effect
3,147.5,0.09936707,0.08669083,0.31892753,36.554726,solar effect
3,148.5,0.09918945,0.08656196,0.3185202,36.52321,solar effect
3,149.5,0.09903604,0.08644693,0.31815845,36.49978,solar effect
3,199.5,0.09754427,0.08482313,0.3127523,36.37506,solar effect
4,0.5,0.10015385,0.08929633,0.30355453,38.682323,solar effect
4,99.5,0.09210588,0.08051182,0.2978494,33.870495,solar effect
4,100.5,0.05027106,0.042154446,0.15670669,33.203167,solar effect
4,101.5,4.2282832e-07,3.5051653e-05,9.710485e-05,24.4679,solar effect
4,102.5,7.813464e-05,0.007398533,0.02570358,15.2267275,solar effect
4,103.5,0.03545711,0.1129065,0.42169943,37.553837,solar effect
4,104.5,0.16938072,0.19379592,0.69858104,63.29686,solar effect
4,105.5,0.19666862,0.1805714,0.6406971,66.664925,solar effect
4,106.5,0.19367456,0.16578954,0.5842321,63.897003,solar effect
4,107.5,0.18458323,0.15474045,0.5427038,60.503845,solar effect
4,108.5,0.17623356,0.14692283,0.51289606,57.637196,solar effect
4,109.5,0.16933885,0.14064397,0.49083686,55.297077,solar effect
4,110.5,0.16323042,0.13536197,0.4729908,53.29715,solar effect
4,111.5,0.15785725,0.13084549,0.45821095,51.59349,solar effect
4,112.5,0.15330401,0.12699717,0.44550028,50.086414,solar effect
4,113.5,0.14933196,0.12367006,0.43463463,48.781124,solar effect
4,114.5,0.14589126,0.12090421,0.4258601,47.825504,solar effect
4,115.5,0.14277259,0.11838791,0.41767195,46.866642,solar effect
4,116.5,0.1399388,0.11616201,0.4103924,46.035385,solar effect
4,117.5,0.13742381,0.11411184,0.40381747,45.263294,solar effect
4,118.5,0.1351757,0.11222889,0.39783102,44.543343,solar effect
4,119.5,0.13312593,0.11052491,0.39240205,43.879128,solar effect
4,120.5,0.13120437,0.10892486,0.3874367,43.289528,solar effect
4,121.5,0.12948431,0.10754681,0.38312382,42.779366,solar effect
4,122.5,0.1279304,0.10632126,0.379238,42.365925,solar effect
4,123.5,0.12648761,0.10520306,0.375716,41.99987,solar effect
4,124.5,0.12511481,0.10413595,0.3724637,41.68067,solar effect
