Age,Material,d13C
65.713,bulk,1.471
65.717,bulk,1.458
65.719,bulk,1.541
65.721,bulk,1.574
65.722,bulk,1.574
65.724,bulk,1.546
65.726,bulk,1.562
65.728,bulk,1.547
65.730,bulk,1.516
65.732,bulk,1.540
65.734,bulk,1.562
65.736,bulk,1.568
65.737,bulk,1.571
65.739,bulk,1.534
65.741,bulk,1.584
65.743,bulk,1.583
65.745,bulk,1.579
65.747,bulk,1.573
65.749,bulk,1.645
65.751,bulk,1.617
65.752,bulk,1.644
65.754,bulk,1.568
65.756,bulk,1.624
65.758,bulk,1.697
65.760,bulk,1.679
65.762,bulk,1.664
65.764,bulk,1.673
65.766,bulk,1.653
65.769,bulk,1.600
65.771,bulk,1.581
65.773,bulk,1.570
65.775,bulk,1.604
65.777,bulk,1.643
65.790,bulk,1.685
65.792,bulk,1.639
65.794,bulk,1.620
65.796,bulk,1.636
65.797,bulk,1.602
65.799,bulk,1.650
65.801,bulk,1.617
65.803,bulk,1.617
65.805,bulk,1.633
65.807,bulk,1.626
65.809,bulk,1.659
65.811,bulk,1.638
65.813,bulk,1.631
65.815,bulk,1.625
65.817,bulk,1.676
65.819,bulk,1.646
65.821,bulk,1.648
65.823,bulk,1.650
65.825,bulk,1.679
65.828,bulk,1.639
65.830,bulk,1.680
65.832,bulk,1.715
65.834,bulk,1.670
65.836,bulk,1.747
65.838,bulk,1.749
65.841,bulk,1.770
65.843,bulk,1.688
65.845,bulk,1.768
65.847,bulk,1.780
65.849,bulk,1.778
65.851,bulk,1.754
65.853,bulk,1.716
65.856,bulk,1.769
65.858,bulk,1.765
65.860,bulk,1.769
65.864,bulk,1.739
65.866,bulk,1.789
65.868,bulk,1.801
65.871,bulk,1.792
65.873,bulk,1.844
65.875,bulk,1.858
65.877,bulk,1.827
65.879,bulk,1.841
65.881,bulk,1.823
65.884,bulk,1.856
65.886,bulk,1.836
65.888,bulk,1.862
65.890,bulk,1.883
65.892,bulk,1.824
65.894,bulk,1.902
65.896,bulk,1.861
65.899,bulk,1.887
65.901,bulk,1.923
65.903,bulk,1.911
65.905,bulk,1.932
65.907,bulk,1.936
65.909,bulk,1.940
65.912,bulk,1.960
65.914,bulk,1.978
65.916,bulk,1.935
65.919,bulk,2.024
65.921,bulk,2.036
65.924,bulk,2.122
65.926,bulk,2.143
65.928,bulk,2.181
65.931,bulk,2.155
65.933,bulk,2.149
65.936,bulk,2.128
65.938,bulk,2.155
65.941,bulk,2.164
65.943,bulk,2.198
65.945,bulk,2.155
65.948,bulk,2.165
65.950,bulk,2.250
65.953,bulk,2.188
65.955,bulk,2.245
65.957,bulk,2.220
65.960,bulk,2.098
65.962,bulk,2.204
65.965,bulk,2.238
65.967,bulk,2.148
65.970,bulk,2.175
65.972,bulk,2.171
65.974,bulk,2.153
65.977,bulk,2.105
65.979,bulk,2.098
65.982,bulk,1.997
65.984,bulk,2.061
65.986,bulk,2.028
65.989,bulk,1.912
65.991,bulk,1.924
65.996,bulk,1.898
65.998,bulk,1.891
66.003,bulk,1.901
66.006,bulk,1.950
66.008,bulk,1.918
66.011,bulk,2.022
66.013,bulk,2.007
66.015,bulk,2.026
66.018,bulk,2.185
66.020,bulk,2.134
66.026,bulk,2.850
66.027,bulk,2.677
66.029,bulk,2.714
66.031,bulk,2.494
66.032,bulk,2.877
66.034,bulk,2.971
66.036,bulk,2.868
66.037,bulk,2.777
66.039,bulk,2.672
66.042,bulk,2.966
66.044,bulk,3.062
66.046,bulk,3.065
66.047,bulk,3.052
66.049,bulk,3.022
66.051,bulk,3.058
66.052,bulk,3.122
66.054,bulk,3.058
66.056,bulk,3.018
66.057,bulk,2.972
66.059,bulk,3.054
66.061,bulk,2.958
66.062,bulk,3.070
66.064,bulk,2.978
66.066,bulk,3.066
66.067,bulk,2.992
66.069,bulk,2.901
66.071,bulk,2.977
66.072,bulk,2.883
66.074,bulk,2.998
66.076,bulk,3.020
66.077,bulk,3.087
66.079,bulk,3.061
66.081,bulk,2.926
66.082,bulk,2.988
66.084,bulk,2.954
66.086,bulk,3.017
